R;Rm;Nome;Squadra;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
A;Pc;Simeone;Napoli;5,74;5,82;1;0;0;0;0;0;0;3;0;0
A;Pc;Origi;Milan;0;0;0;0;0;0;0;0;0;0;0;0
A;Pc;Esposito Se.;Inter;0;0;0;0;0;0;0;0;0;0;0;0
A;Pc;Van Hooijdonk;Bologna;5,79;5,79;0;0;0;0;0;0;0;0;0;0
A;A;Seck;Frosinone;5,93;5,89;0;0;0;0;0;0;0;1;0;0
A;Pc;Brenner;Udinese;5,88;5,88;0;0;0;0;0;0;0;0;0;0
A;Pc;Destro;Empoli;5,68;5,59;0;0;0;0;0;0;0;2;0;0
A;A;Caprari;Monza;5,9;5,9;0;0;0;0;0;0;0;0;0;0
A;A;Caso;Frosinone;5,95;5,95;0;0;0;0;0;0;1;2;0;0
A;Pc;Botheim;Salernitana;5,3;5,2;0;0;0;0;0;0;0;1;0;0
A;Pc;Mulattieri;Sassuolo;5,88;5,88;0;0;0;0;0;0;0;1;0;0
A;Pc;Borrelli;Frosinone;6;6;0;0;0;0;0;0;0;0;0;0
A;Pc;Shpendi S.;Empoli;5,72;5,72;0;0;0;0;0;0;0;0;0;0
A;A;Karlsson;Bologna;5,92;5,92;0;0;0;0;0;0;0;0;0;0
A;A;Tavsan;Verona;6;6;0;0;0;0;0;0;0;0;0;0
A;Pc;Puscas;Genoa;5,33;5,33;0;0;0;0;0;0;0;0;0;0
A;A;Deulofeu;Udinese;0;0;0;0;0;0;0;0;0;0;0;0
A;Pc;Latte Lath;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0
A;A;Ake' M.;Udinese;0;0;0;0;0;0;0;0;0;0;0;0
A;Pc;Kokorin;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0
A;A;Braaf;Verona;0;0;0;0;0;0;0;0;0;0;0;0
A;A;Traore' C.;Milan;7;10;1;0;0;0;0;0;0;0;0;0
A;Pc;Raimondo;Bologna;0;0;0;0;0;0;0;0;0;0;0;0
A;A;Kallon;Verona;0;0;0;0;0;0;0;0;0;0;0;0
A;A;Ceide;Sassuolo;5,64;5,64;0;0;0;0;0;0;0;0;0;0
A;Pc;Voelkerling Persson;Lecce;0;0;0;0;0;0;0;0;0;0;0;0
A;A;Valencia D.;Salernitana;0;0;0;0;0;0;0;0;0;0;0;0
A;Pc;Alvarez A.;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0
A;A;Rodriguez P.;Lecce;0;0;0;0;0;0;0;0;0;0;0;0
A;A;Ekong;Empoli;0;0;0;0;0;0;0;0;0;0;0;0
A;Pc;Vivaldo;Udinese;0;0;0;0;0;0;0;0;0;0;0;0
A;A;Kvernadze;Frosinone;5,75;5,75;0;0;0;0;0;0;0;0;0;0
A;A;Bidaoui;Frosinone;0;0;0;0;0;0;0;0;0;0;0;0
A;Pc;Yalcin;Genoa;0;0;0;0;0;0;0;0;0;0;0;0
A;Pc;Diaw;Monza;0;0;0;0;0;0;0;0;0;0;0;0
A;Pc;Burnete;Lecce;6;6;0;0;0;0;0;0;0;0;0;0
A;A;Corfitzen;Lecce;0;0;0;0;0;0;0;0;0;0;0;0
A;Pc;Stewart;Salernitana;5,83;5,83;0;0;0;0;0;0;0;0;0;0
A;Pc;Cruz;Verona;5,67;5,67;0;0;0;0;0;0;0;0;0;0
A;Pc;Camarda;Milan;0;0;0;0;0;0;0;0;0;0;0;0
A;"W;A";Ghedjemis;Frosinone;6,2;6,1;0;0;0;0;0;0;0;1;0;0
A;Pc;Ankeye;Genoa;5,75;5,75;0;0;0;0;0;0;0;0;0;0
A;A;Kabic;Torino;0;0;0;0;0;0;0;0;0;0;0;0
